Charlevoix Airport,47.5974998,-70.2238998,YML
Fort McMurray Airport,56.6533012,-111.2220001,YMM
Moosonee Airport,51.2910995,-80.6078033,YMO
Chapais Airport,49.7719002,-74.5280991,YMT
Umiujaq Airport,56.5360985,-76.5183029,YUD
Montreal International (Mirabel) Airport,45.679501,-74.038696,YMX
Natashquan Airport,50.1899986,-61.7891998,YNA
Wemindji Airport,53.010601,-78.8311005,YNC
Ottawa / Gatineau Airport,45.521702,-75.563599,YND
Norway House Airport,53.9583015,-97.8442001,YNE
Points North Landing Airport,58.2766991,-104.0820007,YNL
Matagami Airport,49.7616997,-77.802803,YNM
Ekati Airport,64.6988983,-110.6149979,YOA
Old Crow Airport,67.5706024,-139.8390045,YOC
CFB Cold Lake,54.4049988,-110.2789993,YOD
Oxford House Airport,54.9333,-95.2789001,YOH
High Level Airport,58.6213989,-117.1650009,YOJ
Oshawa Executive Airport,43.922798,-78.894997,YOO
Rainbow Lake Airport,58.4914017,-119.4079971,YOP
Owen Sound / Billy Bishop Regional Airport,44.5903015,-80.8375015,YOS
Ottawa Macdonald-Cartier International Airport,45.322498,-75.669197,YOW
Prince Albert Glass Field,53.2141991,-105.6729965,YPA
Paulatuk (Nora Aliqatchialuk Ruben) Airport,69.3608381,-124.07547,YPC
Port Hawkesbury Airport,45.6567001,-61.3680992,YPS
Peace River Airport,56.226898,-117.446999,YPE
Portage-la-Prairie / Southport Airport,49.903099,-98.273817,YPG
Inukjuak Airport,58.4719009,-78.0768967,YPH
Pickle Lake Airport,51.4463997,-90.2142029,YPL
Pikangikum Airport,51.8196983,-93.9732971,YPM
Port Menier Airport,49.8363991,-64.2885971,YPN
Peawanuck Airport,54.9880981,-85.4432983,YPO
Peterborough Municipal Airport,44.23,-78.363297,YPQ
Prince Rupert Airport,54.2860985,-130.4450073,YPR
Powell River Airport,49.8342018,-124.5,YPW
Puvirnituq Airport,60.0505981,-77.2869034,YPX
Fort Chipewyan Airport,58.7672005,-111.1169968,YPY
Burns Lake Airport,54.3764,-125.950996,YPZ
Muskoka Airport,44.9747009,-79.303299,YQA
Quebec Jean Lesage International Airport,46.7911,-71.393303,YQB
The Pas Airport,53.9714012,-101.0910034,YQD
Red Deer Regional Airport,52.182201,-113.893997,YQF
Windsor Airport,42.2756004,-82.9555969,YQG
Watson Lake Airport,60.1164017,-128.8220062,YQH
Yarmouth Airport,43.8269005,-66.0880966,YQI
Kenora Airport,49.7882996,-94.3630981,YQK
Lethbridge County Airport,49.6302986,-112.8000031,YQL
Greater Moncton Roméo LeBlanc International Airport,46.112202,-64.678596,YQM
Nakina Airport,50.1828003,-86.6964035,YQN
Comox Valley Airport / CFB Comox,49.7108,-124.887001,YQQ
Regina International Airport,50.4319,-104.6660004,YQR
St Thomas Municipal Airport,42.7700005,-81.1108017,YQS
Thunder Bay Airport,48.3718987,-89.3238983,YQT
Grande Prairie Airport,55.1796989,-118.8850021,YQU
Yorkton Municipal Airport,51.2647018,-102.461998,YQV
North Battleford Airport,52.769409,-108.243742,YQW
Gander International Airport / CFB Gander,48.936258,-54.567719,YQX
Sydney / J.A. Douglas McCurdy Airport,46.1614,-60.047798,YQY
Quesnel Airport,53.0261002,-122.5100021,YQZ
Rae Lakes Airport,64.1160965,-117.3099976,YRA
Resolute Bay Airport,74.7169037,-94.9693985,YRB
Rivière-du-Loup Airport,47.7644005,-69.5847015,YRI
Roberval Airport,48.5200005,-72.2656021,YRJ
Red Lake Airport,51.0668983,-93.7930984,YRL
Ottawa / Rockcliffe Airport,45.4603004,-75.6461029,YRO
Trois-Rivières Airport,46.3527985,-72.6793976,YRQ
Red Sucker Lake Airport,54.1671982,-93.5571976,YRS
Rankin Inlet Airport,62.8114014,-92.115799,YRT
Revelstoke Airport,50.962245,-118.184258,YRV
Sudbury Airport,46.625,-80.7988968,YSB
Sherbrooke Airport,45.438599,-71.691399,YSC
Stony Rapids Airport,59.2503014,-105.8410034,YSF
Smiths Falls-Montague (Russ Beach) Airport,44.945801,-75.940598,YSH
Saint John Airport,45.3161011,-65.8902969,YSJ
Sanikiluaq Airport,56.5377998,-79.2466965,YSK
Saint-Léonard Airport,47.157097,-67.836242,YSL
Fort Smith Airport,60.020302,-111.961998,YSM
Niagara District Airport,43.1917,-79.1717,YCM
Marathon Airport,48.7552986,-86.3443985,YSP
St. Theresa Point Airport,53.8456001,-94.8518982,YST
Summerside Airport,46.440601,-63.833599,YSU
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,71.9938965,-125.2429962,YSY
Pembroke Airport,45.864399,-77.2517014,YTA
Cape Dorset Airport,64.230003,-76.526703,YTE
Alma Airport,48.5088997,-71.6418991,YTF
Thompson Airport,55.8011017,-97.8641968,YTH
Big Trout Lake Airport,53.8177986,-89.8968964,YTL
Tasiujaq Airport,58.6678009,-69.9558029,YTQ
CFB Trenton,44.1189003,-77.5280991,YTR
Timmins/Victor M. Power,48.5696983,-81.3767014,YTS
Billy Bishop Toronto City Centre Airport,43.627499,-79.396202,YTZ
Tuktoyaktuk / James Gruben Airport,69.433296,-133.026001,YUB
Montreal / Pierre Elliott Trudeau International Airport,45.4706001,-73.740799,YUL
Naujaat Airport,66.5214,-86.224701,YUT
Hall Beach Airport,68.7761,-81.2425,YUX
Rouyn Noranda Airport,48.2061005,-78.8356018,YUY
Bonaventure Airport,48.071098,-65.460297,YVB
La Ronge Airport,55.1514015,-105.262001,YVC
Vernon Airport,50.2481003,-119.3310013,YVE
Qikiqtarjuaq Airport,67.546232,-64.031754,YVM
Val-d'Or Airport,48.053299,-77.7827988,YVO
Kuujjuaq Airport,58.0960999,-68.4269028,YVP
Norman Wells Airport,65.281601,-126.7979965,YVQ
Vancouver International Airport,49.1939011,-123.1839981,YVR
Wiarton Airport,44.7458,-81.107201,YVV
Deer Lake Airport,52.6557999,-94.0614014,YVZ
Petawawa Airport,45.9522018,-77.3191986,YWA
Winnipeg / James Armstrong Richardson International Airport,49.9099998,-97.2398987,YWG
Déline Airport,65.211098,-123.435997,YWJ
Wabush Airport,52.9219017,-66.8644028,YWK
Williams Lake Airport,52.1831017,-122.0540009,YWL
Webequie Airport,52.9593934,-87.3748684,YWP
Wrigley Airport,63.2094002,-123.4369965,YWY
Cranbrook/Canadian Rockies International Airport,49.6108017,-115.7819977,YXC
Saskatoon John G. Diefenbaker International Airport,52.1707993,-106.6999969,YXE
Medicine Hat Regional Airport,50.018902,-110.721001,YXH
Fort St John / North Peace Regional Airport,56.238098,-120.739998,YXJ
Rimouski Airport,48.4780998,-68.4969025,YXK
Sioux Lookout Airport,50.1138992,-91.9052963,YXL
Whale Cove Airport,62.2400017,-92.5980988,YXN
Pangnirtung Airport,66.1449966,-65.7136002,YXP
Beaver Creek Airport,62.4103012,-140.8670044,YXQ
Earlton (Timiskaming Regional) Airport,47.6974007,-79.8473454,YXR
Prince George Airport,53.884311,-122.666554,YXS
Northwest Regional Airport Terrace-Kitimat,54.468498,-128.576009,YXT
London Airport,43.035599,-81.1539,YXU
Abbotsford International Airport,49.025299,-122.361,YXX
Whitehorse / Erik Nielsen International Airport,60.709599,-135.067001,YXY
Wawa Airport,47.9667015,-84.7866974,YXZ
North Bay Jack Garland Airport,46.363602,-79.422798,YYB
Calgary International Airport,51.1138992,-114.0199966,YYC
Smithers Airport,54.8246994,-127.1829987,YYD
Fort Nelson Airport,58.8363991,-122.5970001,YYE
Penticton Airport,49.4631004,-119.6019974,YYF
Charlottetown Airport,46.2900009,-63.1211014,YYG
Taloyoak Airport,69.5467,-93.576698,YYH
Victoria International Airport,48.6469,-123.426003,YYJ
Lynn Lake Airport,56.8638992,-101.0759964,YYL
Swift Current Airport,50.2919006,-107.6910019,YYN
Churchill Airport,58.7392006,-94.0650024,YYQ
Goose Bay Airport,53.3191986,-60.4258003,YYR
St. John's International Airport,47.618599,-52.7519,YYT
