,name,latitude_deg,longitude_deg,iso_country,iata_code
48264,Jizan Regional Airport / King Abdullah bin Abdulaziz Airport,16.9011,42.5858,SA,GIZ
48265,Gassim Airport,26.302799,43.774399,SA,ELQ
48266,Gurayat Domestic Airport,31.412413,37.278898,SA,URY
48267,Ha'il Airport,27.437901,41.686298,SA,HAS
48270,Jubail Airport,27.0389996,49.4051018,SA,QJB
48272,King Abdulaziz International Airport,21.6796,39.156502,SA,JED
48273,King Khaled Military City Airport,27.9009,45.528198,SA,KMC
48274,King Khalid Air Base,18.2973,42.803501,SA,KMX
48276,Prince Mohammad Bin Abdulaziz Airport,24.5534,39.705101,SA,MED
48277,Najran Domestic Airport,17.611401,44.419201,SA,EAM
48278,Neom Bay Airport,27.927598,35.28874,SA,NUM
48281,Al Qaisumah/Hafr Al Batin Airport,28.335199,46.125099,SA,AQI
48287,Prince Sultan Air Base,24.0627,47.580502,SA,AKH
48289,Rafha Domestic Airport,29.6264,43.4906006,SA,RAH
48290,King Khaled International Airport,24.9575996,46.6987991,SA,RUH
48292,Arar Domestic Airport,30.906601,41.1381989,SA,RAE
48296,Sharurah Domestic Airport,17.4669,47.121399,SA,SHW
48297,Al-Jawf Domestic Airport,29.7851009,40.0999985,SA,AJF
48299,Tabuk Airport,28.3654,36.6189,SA,TUU
48300,Ta’if Regional Airport,21.483001,40.543442,SA,TIF
48303,Turaif Domestic Airport,31.692188,38.731544,SA,TUI
48306,Wadi Al Dawasir Domestic Airport,20.504299,45.1996,SA,WAE
48307,Al Wajh Domestic Airport,26.198601,36.476398,SA,EJH
48308,Yanbu Airport / Prince Abdul Mohsin bin Abdulaziz international Airport,24.144199,38.0634,SA,YNB
48557,Abadan Airport,30.367887,48.230075,IR,ABD
48558,Dezful Airport,32.434399,48.397598,IR,DEF
48559,Aghajari Airport,30.7444,49.6772,IR,AKW
48560,Gachsaran Airport,30.333869,50.833796,IR,GCH
48561,Shahid Asiyaee Airport,32.001719,49.268599,IR,QMJ
48563,Mahshahr Airport,30.5562,49.151901,IR,MRX
48564,Lieutenant General Qasem Soleimani International Airport,31.3374,48.762001,IR,AWZ
48565,Abu Musa Island Airport,25.8757,55.033001,IR,AEU
48566,Bushehr Airport,28.9447994,50.8345985,IR,BUZ
48569,Jam Airport,27.820499,52.3522,IR,KNR
48570,Kish International Airport,26.5261993,53.9802017,IR,KIH
48571,Bandar Lengeh International Airport,26.532283,54.82484,IR,BDH
48573,Persian Gulf International Airport,27.379601,52.737701,IR,PGU
48574,Khark Airport,29.260503,50.322193,IR,KHK
48575,Siri Airport,25.908899,54.539398,IR,SXI
48576,Lavan Airport,26.810742,53.354302,IR,LVP
48578,Shahid Ashrafi Esfahani Airport,34.3459015,47.1581001,IR,KSH
48581,Ilam Airport,33.5866013,46.4048004,IR,IIL
48582,Khoram Abad Airport,33.4353981,48.2829018,IR,KHD
48583,Sanandaj Airport,35.2458992,47.009201,IR,SDG
48587,Kashan Airport,33.895302,51.577,IR,KKS
48588,Isfahan Shahid Beheshti International Airport,32.750755,51.861483,IR,IFN
48590,Shahrekord Airport,32.2971992,50.8422012,IR,CQD
48592,Sardar-e-Jangal Airport,37.323333,49.617778,IR,RAS
48593,Hamadan Airport,34.869202,48.552502,IR,HDM
48596,Nojeh Air Base,35.211601,48.6534,IR,NUJ
48601,Imam Khomeini International Airport,35.4160995,51.1521988,IR,IKA
48603,Mehrabad International Airport,35.6892014,51.3134003,IR,THR
48604,Qazvin Airport,36.240101,50.0471,IR,GZW
48606,Payam Karaj International Airport,35.7761,50.826698,IR,PYK
48610,Bandar Abbas International Airport,27.2182999,56.3778,IR,BND
48612,Jiroft Airport,28.723519,57.675037,IR,JYR
48613,Ayatollah Hashemi Rafsanjani International Airport,30.271276,56.949692,IR,KER
48614,Bam Airport,29.0842,58.450001,IR,BXR
48617,Rafsanjan Airport,30.298345,56.048979,IR,RJN
48618,Sirjan Airport,29.5509,55.672699,IR,SYJ
48619,Birjand International Airport,32.896525,59.281258,IR,XBJ
48620,Sarakhs Airport,36.5012016,61.0648994,IR,CKT
48624,Mashhad International Airport,36.235199,59.6409988,IR,MHD
48625,Bojnord Airport,37.493,57.3082008,IR,BJB
48626,Sabzevar National Airport,36.1680984,57.5951996,IR,AFZ
48627,Tabas Airport,33.6678009,56.8927002,IR,TCX
48632,Gorgan Airport,36.9094009,54.4012985,IR,GBT
48637,Nowshahr Airport,36.664286,51.46273,IR,NSH
48638,Ramsar Airport,36.90701,50.687316,IR,RZR
48639,Sari Dasht-e Naz International Airport,36.644408,53.188761,IR,SRY
48642,Fasa Airport,28.8918,53.723301,IR,FAZ
48644,Lar Airport,27.6747,54.383301,IR,LRR
48646,Lamerd Airport,27.3727,53.188801,IR,LFM
48647,Shiraz Shahid Dastghaib International Airport,29.5392,52.589802,IR,SYZ
48648,Yasuj Airport,30.702238,51.542988,IR,YES
48650,Ardabil Airport,38.3256989,48.4244003,IR,ADU
48653,Urmia Airport,37.6680984,45.0686989,IR,OMH
48655,Tabriz International Airport,38.1339,46.235001,IR,TBZ
48657,Zanjan Airport,36.7737007,48.3594017,IR,JWN
48659,Shahid Sadooghi Airport,31.9048996,54.2765007,IR,AZD
48660,Zabol Airport,31.098301,61.5439,IR,ACZ
48661,Chabahar Konarak International Airport,25.44319,60.382167,IR,ZBR
48662,Zahedan International Airport,29.4757004,60.9062004,IR,ZAH
48663,Iranshahr Airport,27.236099,60.720001,IR,IHR
48667,Queen Alia International Airport,31.7226009,35.9931984,JO,AMM
48668,Amman Civil (Marka International) Airport,31.9727,35.9916,JO,ADJ
48669,Aqaba King Hussein International Airport,29.6116009,35.0181007,JO,AQJ
48775,Ahmed Al Jaber Air Base,28.9347992,47.7919006,KW,XIJ
48777,Kuwait International Airport,29.226601,47.968899,KW,KWI
48825,Beirut Rafic Hariri International Airport,33.8209,35.4883995,LB,BEY
48828,Rene Mouawad Air Base / Kleyate Airport,34.589298,36.011299,LB,KYE
48833,Duqm International Airport,19.501944,57.634167,OM,DQM
48834,Mussanah Airport,23.640556,57.4875,OM,MNH
48868,Abu Dhabi International Airport,24.443764,54.651718,AE,AUH
48871,Al Bateen Executive Airport,24.428301,54.458099,AE,AZI
48876,Al Ain International Airport,24.2616997,55.6091995,AE,AAN
48877,Al Dhafra Air Base,24.2481995,54.547699,AE,DHF
48883,Sir Bani Yas Airport,24.283611,52.580278,AE,XSB
48884,Dubai International Airport,25.2528,55.364399,AE,DXB
48885,Al Minhad Air Base,25.0268002,55.3661995,AE,NHD
48886,Al Maktoum International Airport,24.896356,55.161389,AE,DWC
48887,Fujairah International Airport,25.1121998,56.3240013,AE,FJR
48891,Ras Al Khaimah International Airport,25.6135006,55.9388008,AE,RKT
48893,Sharjah International Airport,25.3285999,55.5172005,AE,SHJ
48910,Khasab Airport,26.171,56.240601,OM,KHS
48912,RAFO Masirah,20.6754,58.890499,OM,MSH
48913,Muscat International Airport,23.5932999,58.2844009,OM,MCT
48915,Salalah Airport,17.0387001,54.091301,OM,SLL
